,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,1.1230479240417481,0.012030724278941236,0.06674056053161621,0.0013658389450542058,True,gini,2,1000,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 2, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
9,0.11428985595703126,0.0016087099000291287,0.0076961517333984375,0.0003858298039222347,True,gini,3,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
10,0.569535207748413,0.007699442481661496,0.04746232032775879,0.027177547399781232,True,gini,3,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
11,1.130781316757202,0.007064477252029035,0.06624402999877929,0.0007508353448936069,True,gini,3,1000,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 3, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
13,0.11467461585998535,0.002414736746569397,0.007354021072387695,0.00014964810808646212,True,gini,4,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
14,0.569812536239624,0.009358705943972891,0.033636951446533205,0.000298323655333121,True,gini,4,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
15,1.134764051437378,0.0048449057576737545,0.06823363304138183,0.0034261972601989537,True,gini,4,1000,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 4, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
17,0.11368298530578613,0.001279688060037119,0.007370901107788086,0.000144844920437358,True,gini,5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
18,0.566272497177124,0.0019173583887095757,0.03374414443969727,0.0008519430326372224,True,gini,5,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
38,0.5761526584625244,0.007325001743368365,0.03406515121459961,0.0005728268339495594,True,entropy,5,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
3,1.1230419158935547,0.009647049126922424,0.066184663772583,0.0013379137449171386,True,gini,1,1000,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
21,0.11491413116455078,0.003800600396174076,0.007523202896118164,0.0002770361760110882,True,entropy,1,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
